,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
57,-5,-17,-1,0,0,-9,-15,3,False,3,-17,-5.5,7.445036697597361,8.874119674649425,-44.0
58,1,0,0,0,0,0,5,-3,False,5,-3,0.375,2.1998376563477846,2.091650066335189,3.0
59,10,3,0,0,-1,0,0,3,False,10,-1,1.875,3.603074084326168,3.856812155135378,15.0
60,-4,1,-4,-2,0,0,-3,-7,False,1,-7,-2.375,2.669269563007828,3.4460121880225554,-19.0
61,-1,-24,-2,0,0,0,0,2,False,2,-24,-3.125,8.50944853005847,8.551315688243536,-25.0
62,-7,-11,-1,-1,0,5,8,-2,False,8,-11,-1.125,6.0341291240504855,5.755432216610669,-9.0
63,-7,6,-1,-1,-1,0,-1,4,False,6,-7,-0.125,3.8706773124535783,3.6228441865473595,-1.0
64,-1,1,0,0,-1,2,3,-1,False,3,-1,0.375,1.5059406173077154,1.4577379737113252,3.0
65,-2,8,-1,0,-3,-15,-36,-3,False,8,-36,-6.5,13.469542361512191,14.177446878757825,-52.0
66,-10,-8,-2,-1,0,0,13,0,False,13,-10,-1.0,6.866065623255952,6.5,-8.0
67,0,8,0,0,0,4,15,1,False,15,0,3.5,5.451081150953975,6.18465843842649,28.0
68,6,9,1,-2,-1,0,-1,-2,False,9,-2,1.25,4.06201920231798,4.0,10.0
69,-8,1,-3,-1,-2,2,13,-6,False,13,-8,-0.5,6.391959234627741,6.0,-4.0
70,12,2,-1,0,-1,0,0,4,False,12,-1,2.0,4.375255094603872,4.55521678957215,16.0
71,1,3,1,2,-1,2,-1,0,False,3,-1,0.875,1.4577379737113252,1.620185174601965,7.0
72,-13,-20,-4,-2,-1,-9,-5,-2,False,-1,-20,-7.0,6.6332495807108,9.354143466934854,-56.0
73,-2,6,-1,0,-2,3,7,-4,False,7,-4,0.875,4.0155946010522525,3.856812155135378,7.0
74,3,-1,-1,2,1,7,10,1,False,10,-1,2.75,3.882193783343198,4.55521678957215,22.0
