,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat
130,-2,-17,-3,-2,-1,-10,-14,-1,False
131,-2,-1,1,0,1,1,5,2,False
132,0,1,0,0,0,10,26,0,False
133,3,5,-1,-1,0,-5,-6,1,False
134,-6,-8,-4,-2,-2,5,23,0,False
135,-3,-1,0,-1,-1,1,2,-3,False
136,12,5,-1,-1,0,0,1,1,False
137,-1,-4,-1,-1,1,-1,-4,-2,False
138,-2,9,1,0,0,-1,-6,0,False
139,-5,3,-2,-1,-5,-20,-60,-6,False
140,0,-5,-1,1,-2,2,8,4,False
141,6,11,0,0,0,-4,-1,-4,False
142,-2,3,-1,-1,-1,6,19,0,False
143,-1,-3,1,-1,-1,-4,-14,-1,False
144,3,-7,-2,-2,-1,4,8,-1,False
145,2,6,2,0,0,2,5,-1,False
146,9,10,0,1,0,2,6,4,False
147,10,18,-2,-1,-3,-12,-39,-8,False
148,3,-4,-1,0,-1,4,6,0,False
149,-1,-3,0,2,0,6,8,2,False
150,-13,-23,-3,-1,-2,-8,-19,-2,False
151,-1,1,1,-1,0,3,9,7,False
152,10,4,0,0,1,5,18,4,False
153,-9,-17,-5,-1,-1,1,10,-1,False
154,-18,-12,-3,-4,-3,-10,-33,-7,False
155,2,7,0,0,-2,2,9,2,False
156,-2,-24,-3,-1,-2,3,16,-2,False
157,-8,8,0,-2,-2,-1,-2,-3,False
158,-9,-7,-2,0,-1,-3,-4,-4,False
159,-3,1,-1,-1,-1,0,1,0,False
160,-3,1,0,-1,0,4,16,-1,False
161,-5,-11,-2,1,1,9,20,3,False
162,-10,3,0,-2,-1,-3,-12,-7,False
163,6,10,1,2,-1,-3,8,4,False
164,-9,-24,-6,-2,-4,-2,-7,-5,False
165,1,13,0,-3,0,3,3,-4,False
166,-1,-11,-1,-1,0,-8,-24,2,False
167,-3,2,-1,1,-1,0,1,0,False
168,4,5,0,-1,-1,-6,-19,-1,False
169,-6,4,0,-1,-1,-1,4,1,False
170,17,15,0,0,-1,3,12,-1,False
171,5,6,-1,-2,1,0,3,3,False
172,-17,-5,0,1,-1,1,4,-4,False
173,-2,2,-1,-3,-2,9,22,-3,False
174,7,7,2,0,2,0,9,4,False
175,-6,-25,-2,0,0,-3,-5,0,False
176,9,7,0,-1,-2,2,6,3,False
177,3,5,-1,1,0,-11,-24,4,False
178,5,-1,1,0,0,1,3,0,False
179,5,13,-1,-1,-1,1,2,-3,False
180,-3,2,1,-1,-1,2,2,-1,False
181,-3,-12,-3,-1,0,-3,-3,-4,False
182,2,2,-1,0,0,2,2,-1,False
183,0,-4,0,0,-1,4,10,-3,False
184,-3,0,-2,0,1,-2,-2,0,False
185,-1,16,1,0,0,1,-3,-2,False
186,2,4,1,0,-2,-1,5,2,False
187,-4,2,-2,-1,0,-10,-29,-3,False
188,1,-4,-1,0,-2,-7,-17,0,False
189,7,3,0,-2,0,0,1,-1,False
190,-4,-7,2,-1,0,1,4,0,False
191,-2,-6,-2,0,-1,-1,-1,-1,False
192,13,13,-1,-1,-1,2,4,3,False
193,0,3,-1,-1,1,5,11,-1,False
194,4,1,-1,1,0,4,1,-2,False
195,4,0,-2,-1,-1,-13,-39,1,False
196,-2,1,0,-2,-1,3,6,1,False
197,-11,-5,-4,-3,-1,1,7,-4,False
198,1,6,-1,-1,-1,-4,-2,-3,False
199,10,12,-1,-1,0,1,4,0,False
200,4,-7,-2,-2,0,2,2,-4,False
201,-3,-2,-1,-1,1,1,7,0,False
202,-4,6,-1,0,-1,1,7,-2,False
203,-6,-6,-1,-2,-1,-7,-11,-4,False
204,-1,-6,-3,-1,-1,3,17,1,False
205,-4,-4,-3,-1,-1,2,3,0,False
206,5,4,0,-1,-1,-6,-6,1,False
207,4,0,-4,-1,-2,-1,-13,-8,False
208,-16,-10,-3,-1,-1,-2,3,-10,False
209,-6,-5,1,0,-2,-5,-6,-2,False
210,11,-8,-1,-1,0,-9,-17,2,False
211,-19,-5,-3,-2,-1,0,4,-1,False
212,-15,-14,-3,-1,1,0,0,-6,False
213,13,11,1,1,-3,5,21,4,False
214,0,6,-1,2,-1,-6,-10,2,False
215,-11,-4,0,0,0,6,16,-2,False
216,-2,-3,0,-2,0,0,-2,-1,False
217,3,12,1,1,-1,3,9,-1,False
218,1,-3,-1,-1,-1,3,-2,-3,False
219,-3,-14,1,-1,0,2,7,6,False
220,6,3,1,0,-1,-2,-4,4,False
221,-5,0,0,0,0,2,7,-1,False
222,-13,-5,-2,-1,-1,1,4,-3,False
223,3,1,-2,-2,-2,-20,-66,-1,False
224,7,11,-2,-2,0,-1,1,-3,False
225,3,6,1,2,0,3,6,-2,False
226,5,-2,-3,-1,-1,-6,-8,-2,False
227,-10,-12,-2,-2,1,0,3,-3,False
228,1,-3,1,0,-1,1,10,8,False
229,-6,-7,-3,-1,-3,-2,3,-5,False
230,0,6,2,-2,0,1,-6,-2,False
231,8,3,-2,-2,-1,-9,-7,-1,False
232,-6,1,-3,0,-2,-2,-2,-3,False
233,4,3,0,-1,2,8,18,2,False
234,-10,-2,-1,0,-1,-4,0,-1,False
235,-9,-2,-1,0,0,1,-1,-2,False
